start,gesture,end,sound,label
83099875,Swipe Right,83110438,83099875.mp4,y
83247636,Swipe Left,83258637,83247636.mp4,y
83382798,Swipe Left,83393160,83382798.mp4,y
83509419,Swipe Right,83520048,83509419.mp4,y
83641300,Whats Up,83652187,83641300.mp4,y
83779605,Whats Up,83790167,83779605.mp4,y
83905018,Nod,83915311,83905018.mp4,y
84050553,Swipe Right,84061417,84050553.mp4,y
84187363,Nod,84197696,84187363.mp4,y
84329967,Nod,84340399,84329967.mp4,not sure
84466792,Swipe Right,84477753,84466792.mp4,y
84591926,Nod,84602889,84591926.mp4,y
84720280,Whats Up,84730601,84720280.mp4,y
84756413,Nod,84767311,84756413.mp4,n
84887345,Swipe Left,84898297,84887345.mp4,y
85020005,Swipe Right,85031044,85020005.mp4,y
85158904,Whats Up,85169750,85158904.mp4,y
85289247,Swipe Left,85299816,85289247.mp4,y
85412548,Swipe Left,85423485,85412548.mp4,y
85543523,Whats Up,85554298,85543523.mp4,y
85689852,Swipe Right,85700847,85689852.mp4,y
85824529,Whats Up,85835521,85824529.mp4,y
85956391,Swipe Right,85966685,85956391.mp4,y
86104892,Swipe Right,86115245,86104892.mp4,y
86239561,Swipe Left,86250062,86239561.mp4,y
86378091,Whats Up,86389016,86378091.mp4,y
86510051,Swipe Left,86520538,86510051.mp4,y
86656192,Swipe Right,86667014,86656192.mp4,y
86786056,Swipe Right,86796740,86786056.mp4,y
86922158,Nod,86932541,86922158.mp4,y
87046674,Swipe Left,87057164,87046674.mp4,y
87192518,Swipe Left,87203378,87192518.mp4,y
87325212,Nod,87335709,87325212.mp4,y
87472810,Nod,87483337,87472810.mp4,y
87608092,Whats Up,87619083,87608092.mp4,y
87728989,Whats Up,87739986,87728989.mp4,y
87855483,Whats Up,87866272,87855483.mp4,y
88002892,Swipe Left,88013533,88002892.mp4,y
88148780,Nod,88159142,88148780.mp4,y
88278337,Nod,88288945,88278337.mp4,y
88409406,Whats Up,88420365,88409406.mp4,y
88549650,Whats Up,88559955,88549650.mp4,y
88693444,Nod,88704210,88693444.mp4,y
88842761,Swipe Right,88853689,88842761.mp4,y
88969594,Swipe Right,88979938,88969594.mp4,y
89106832,Swipe Left,89117167,89106832.mp4,y
89251631,Nod,89262688,89251631.mp4,y
